Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWOM,F9,334.17,112.13,109.23,103.63,96.73,94.63,64.17,57.3,49.9,47.11,47.11,44.39,43.8,42.39,40.79,39.61,30.43,25.99,25.18,22.28,21.53,21.27,21.27,21.27,20.7,20.69,19.77,19.08,17.56,17.56,17.11,17.04,17.04,17.04,16.31,16.31,16.31,14.75,13.57,13.44,13.36,13.2,13.06,13.06,13.06,13.01,13.0,12.98,12.83,11.9,11.51,11.48,11.44,11.42,11.41,11.41,11.4,11.36,11.32,11.12,10.7,10.57,10.57,10.57,10.57,10.57,10.57,10.54,10.23,10.21,10.21,10.01,10.01,10.01,10.01,10.01,10.01,9.96,9.89,9.54,9.54,9.48,9.48,9.48,9.48,9.48,9.48,9.26,9.23,9.09,9.03,8.99,8.72,8.35,8.35,8.31,7.92,7.76,7.71,7.65,7.63
GWOM,F24,334.41,126.79,107.85,96.29,87.26,81.51,74.09,68.74,62.05,61.49,59.16,58.42,58.34,57.67,57.67,57.67,56.12,54.01,52.33,51.64,51.64,50.32,50.32,50.32,50.32,50.18,50.18,48.05,47.22,47.22,44.04,40.59,39.97,39.65,39.65,39.65,39.63,39.63,39.46,39.46,39.46,38.77,38.27,38.27,38.27,38.27,38.27,36.37,36.35,36.35,35.85,35.85,35.85,35.85,35.85,35.85,35.85,33.99,33.04,33.04,32.94,31.94,31.94,31.94,31.94,30.49,30.49,29.86,29.19,28.85,27.96,27.66,27.66,27.66,27.66,27.66,27.23,24.13,23.2,22.83,22.17,22.07,22.07,22.07,22.07,22.07,22.07,20.84,20.52,20.17,19.91,19.68,19.68,19.68,19.68,19.68,19.65,19.22,19.11,19.06,19.02
GWO,F9,334.73,107.8,91.09,79.58,73.46,69.73,69.03,64.78,59.41,59.41,53.43,52.7,51.16,47.16,43.6,42.49,40.56,38.07,36.35,34.99,33.32,32.71,31.71,31.44,29.85,28.47,27.89,26.96,26.5,25.3,24.5,24.48,24.35,23.83,22.69,22.08,21.18,19.0,17.11,17.11,17.1,17.07,17.03,16.62,16.11,14.83,14.82,14.82,13.87,13.87,13.87,13.07,12.92,12.51,11.73,10.45,10.37,10.31,10.02,9.63,9.33,9.32,9.32,8.88,8.63,8.4,8.4,8.23,8.23,8.0,7.93,7.88,7.88,7.88,7.83,7.74,7.67,7.65,7.45,7.28,7.23,7.06,7.05,7.05,6.92,6.88,6.88,6.8,6.73,6.7,6.57,6.53,6.51,6.5,6.47,6.44,6.42,6.38,6.35,6.32,6.3
GWO,F24,316.66,125.46,100.08,85.14,77.07,69.91,68.67,63.57,56.82,56.04,55.27,52.97,51.57,50.86,50.86,50.86,49.71,49.71,49.71,48.6,48.6,48.6,47.58,46.04,45.28,45.28,45.28,45.28,45.28,45.28,45.28,45.28,44.39,43.31,43.31,43.31,41.27,41.27,41.27,41.27,41.27,40.89,40.89,40.89,40.87,40.87,39.97,39.97,39.97,39.97,39.49,39.49,39.49,39.49,38.46,38.33,37.81,37.81,37.81,36.37,36.37,36.37,36.37,36.37,36.37,35.85,35.85,34.47,34.15,33.77,33.77,33.59,32.19,31.71,30.57,30.57,30.43,30.16,30.16,29.27,27.87,27.48,26.2,25.89,25.89,25.89,25.81,25.8,25.32,24.91,24.9,24.67,24.32,24.17,24.17,24.17,24.08,23.97,23.94,23.81,23.75
