Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWOM,F9,334.45044708251953,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],122.0113846578505,112.48853266051096,112.48853266051096,112.48853266051096,102.2537871736092,102.2537871736092,86.1068242912838,86.1068242912838,86.1068242912838,86.1068242912838,86.1068242912838,83.15356008812634,83.15356008812634,72.80443511896163,68.59408111036838,52.383142043146194,44.838712597930446,42.78330297095212,25.311065517264765,25.311065517264765,25.311065517264765,25.311065517264765,25.311065517264765,24.72490110383771,24.72490110383771,15.501315019659287,14.931850457938452,14.931850457938452,14.931850457938452,14.931850457938452,14.931850457938452,14.931850457938452,14.931850457938452,7.597849894808249,7.597849894808249,7.597849894808249,7.597849894808249,6.209790333035528,5.216751460559848,4.688121372272505,4.039828340271939,2.676554225188923,2.676554225188923,2.6740527503338143,2.1318608717722327,2.0406378661972866,2.0406378661972866,2.0406378661972866,1.87702870453829,0.9042280405822254,0.7661910776421763,0.4309567566065766,0.2517774634694092,0.13926066400571813,0.06703973044712086,0.043377414978110096,0.03047658311346879,0.02681121393742103,0.023082595618504342,0.019744574251902236,0.018437651183845105,0.012148478266794882,0.009081703467643365,0.005460893891779506,0.004883485161712997,0.002964220687999841,0.0027845738238596596,0.0026085524524290804,0.002349380691669012,0.0022194252814387028,0.002010172524137488,0.0017149898989003987,0.0012081970149040444,0.00097719606173996,0.0008220181545937066,0.0006805135695486797,0.0006223461851391221,0.0005801319597935617,0.0005449225289737569,0.0005244210215522571,0.0004995666280223077,0.00041164648652625146,0.00036996007359846317,0.00032503955979734656,0.000272254155404994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWOM,F9,334.37051582336426,"[-9.60650594e-10 -1.75848517e-09  2.15723174e-09 -3.71426314e-09
 -3.56029627e-09  3.06591596e-10 -5.78570708e-09 -3.68727752e-09
  5.10921937e-09  1.97004542e-09]",82.4359414391952,82.4359414391952,82.4359414391952,82.4359414391952,82.4359414391952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWOM,F9,333.94877886772156,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],111.85519483637732,111.85519483637732,104.06442120394047,75.61479231386343,75.61479231386343,75.61479231386343,71.35834000555195,71.35834000555195,49.44649994466522,49.44649994466522,44.41910527465481,44.41910527465481,39.48117216852383,33.85752579453164,32.377170402811004,32.377170402811004,23.953505832325405,18.117334614251945,13.344629127527497,10.65142157655373,10.65142157655373,10.65142157655373,10.65142157655373,10.65142157655373,10.65142157655373,10.65142157655373,6.9200006629415896,5.884528371361512,5.884528371361512,5.884528371361512,5.254844510862554,5.254844510862554,5.254844510862554,5.254844510862554,5.254844510862554,5.254844510862554,5.254844510862554,5.156567800215157,4.86687848714422,4.86687848714422,4.852709680091266,4.852709680091266,4.852709680091266,4.852709680091266,4.852709680091266,4.852709680091266,4.75762181606099,4.678938659326434,4.509913611615104,4.509913611615104,4.3846065292866,4.3846065292866,4.3846065292866,4.3846065292866,4.3846065292866,4.3846065292866,4.380340765126945,4.380340765126945,4.376380348856117,4.232126226168219,4.232126226168219,4.232126226168219,4.232126226168219,4.232126226168219,4.232126226168219,4.232126226168219,4.232126226168219,4.190965170364777,4.1835635424605755,4.1835635424605755,4.1835635424605755,4.1835635424605755,4.1835635424605755,4.1835635424605755,4.1835635424605755,4.1835635424605755,4.17313755879924,4.113009857987635,3.9659452205581687,3.9659452205581687,3.9659452205581687,3.9659452205581687,3.9659452205581687,3.9659452205581687,3.9659452205581687,3.9659452205581687,3.882862678448106,3.8366390531093373,3.8366390531093373,3.8366390531093373,3.8189598089525987,3.8189598089525987,3.8189598089525987,3.8189598089525987,3.8189598089525987,0.0,0.0,0.0,0.0,0.0
GWOM,F9,333.8639180660248,"[ 0.10562698 -1.99220187 -0.03255583 -0.99696472  0.99013131 -1.98967934
 -0.01371952 -0.99945282 -1.98572245  0.99832497]",129.2606458524399,115.65248249463107,91.91329243409072,91.91329243409072,91.91329243409072,91.91329243409072,91.91329243409072,63.520898903876876,58.58969038443557,58.58969038443557,45.83887897661425,45.83887897661425,45.83887897661425,45.83887897661425,45.83887897661425,45.83887897661425,45.83887897661425,45.57087560367865,38.84608990667147,38.84608990667147,38.84608990667147,38.84608990667147,38.84608990667147,38.84608990667147,38.84608990667147,38.84608990667147,38.84608990667147,30.498998407275735,30.498998407275735,25.955794270759384,25.955794270759384,25.955794270759384,25.955794270759384,25.955794270759384,25.955794270759384,25.955794270759384,25.955794270759384,25.611002723732383,25.611002723732383,25.611002723732383,25.611002723732383,25.611002723732383,25.611002723732383,25.611002723732383,25.611002723732383,25.611002723732383,25.611002723732383,24.17004545092533,22.82922541401065,20.6461052308058,20.6461052308058,20.6461052308058,20.6461052308058,20.6461052308058,20.6461052308058,20.6461052308058,20.6461052308058,20.259485684795578,20.259485684795578,20.259485684795578,20.259485684795578,20.259485684795578,20.259485684795578,20.259485684795578,20.259485684795578,20.259485684795578,20.25690745296734,20.25690745296734,20.061458604402617,20.061458604402617,20.061458604402617,20.061458604402617,20.061458604402617,20.061458604402617,20.061458604402617,20.061458604402617,20.061458604402617,19.818068895625956,19.71589263455793,19.71589263455793,19.71589263455793,19.71589263455793,19.71589263455793,19.71589263455793,19.71589263455793,19.71589263455793,19.424354152741813,19.246834258202355,18.918382656030033,18.755103962523265,18.699659890825913,18.699659890825913,18.699659890825913,18.699659890825913,18.699659890825913,18.699659890825913,18.502844099172606,18.408447487493078,18.36672503778388,18.316199299280157
GWOM,F9,333.18402099609375,"[-2.34481115e-10 -3.33106897e-09  4.23259881e-10  5.44341861e-10
 -3.19211182e-09 -2.44600618e-09  1.07265599e-09  4.74287945e-09
  2.93948891e-09 -4.46508577e-09]",113.78059474994942,109.51897127000534,109.51897127000534,100.68660243067814,100.68660243067814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWOM,F9,334.8854351043701,"[-0.99839148  2.97764347 -1.00454234  1.00979165  1.98986226  0.98164127
  1.01409274 -1.98925876 -0.98771627 -1.00062845]",144.10174970266416,144.10174970266416,131.77510654677332,105.83388705892081,105.83388705892081,104.10869036191784,70.21732541422739,70.21732541422739,70.21732541422739,70.21732541422739,70.21732541422739,70.21732541422739,70.21732541422739,70.21732541422739,70.21732541422739,70.21732541422739,56.77377346848026,56.77377346848026,56.77377346848026,56.77377346848026,56.77377346848026,56.77377346848026,56.77377346848026,56.77377346848026,56.69850521126372,56.69850521126372,56.69850521126372,56.69850521126372,56.69850521126372,56.69850521126372,56.69850521126372,56.69850521126372,56.69850521126372,56.69850521126372,56.69850521126372,56.69850521126372,41.260575055209635,41.260575055209635,41.260575055209635,41.260575055209635,41.260575055209635,41.260575055209635,41.260575055209635,41.260575055209635,41.260575055209635,41.260575055209635,41.15957492716381,41.15957492716381,33.52676230829442,33.52676230829442,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,33.42459017246895,32.6183809897712,32.6183809897712,32.6183809897712,29.888055998774277,26.18076652691822,26.18076652691822,25.816920772339415,25.687702627352465,24.686581195630666,24.399198826186762,24.1727329080106,24.0780033000909
GWOM,F9,333.4986207485199,"[ 2.20037293e-09  1.88405005e-09  6.96520890e-10  3.40911077e-10
  1.67596130e-09  2.21562269e-09  1.06972594e-09  5.05479017e-09
 -2.21544194e-09 -6.40070373e-09]",104.6495020964517,104.6495020964517,104.6495020964517,98.90766340258254,89.89214654869498,89.89214654869498,89.89214654869498,77.10411940383456,77.10411940383456,77.10411940383456,67.7259529601514,64.7024454371065,64.7024454371065,64.7024454371065,64.7024454371065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWOM,F9,333.8513698577881,"[ 0.99261309  0.99088881 -0.99534873  0.99599706 -1.98486851 -1.98951893
 -0.99377721 -1.00660305 -1.98630923  0.19253938]",98.04266913729637,98.04266913729637,98.04266913729637,98.04266913729637,97.9606034733999,81.84501035385043,79.71299279957537,55.731620060593656,54.65523755331997,54.65523755331997,54.65523755331997,54.65523755331997,54.65523755331997,54.65523755331997,54.65523755331997,54.65523755331997,54.65523755331997,54.65523755331997,54.65523755331997,54.65523755331997,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,54.039119471447115,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,44.71927342316077,42.684759970894355,38.67111369752121,37.340367794839494,37.340367794839494,37.340367794839494,37.340367794839494,37.340367794839494,37.340367794839494,36.998061329889595,33.96034935990782,33.96034935990782,33.96034935990782,31.95413852385009,31.95413852385009,31.95413852385009,31.95413852385009,31.95413852385009,31.95413852385009,31.95413852385009,31.488354517630896,28.622369632949443,28.622369632949443,28.083272868301265,28.083272868301265,28.083272868301265,28.083272868301265,28.083272868301265,28.083272868301265,26.192345708302128,26.192345708302128,25.914270315471285,25.553746711211147,25.20318523195118,25.20318523195118,25.20318523195118,25.20318523195118,25.20318523195118,25.20318523195118,24.851844355447156,24.733332299766502,24.453309011655975,24.453309011655975
GWOM,F9,334.9821379184723,"[-4.70578199e-09 -4.38872645e-09  1.07414449e-09  1.76872495e-09
  3.88637293e-10  3.39152776e-09 -2.44485424e-09 -3.68107534e-09
  3.43040229e-09 -1.71437052e-09]",106.06368919546217,104.48833560098366,104.48833560098366,104.48833560098366,102.78253977069937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWOM,F9,334.66842699050903,"[-0.99611833  0.99780312 -0.02560417  1.99142569  0.06023098 -0.04802742
 -0.99514885  0.99441913  0.0244882   0.02427366]",109.10716786274938,109.10716786274938,96.89547504280121,96.89547504280121,96.89547504280121,96.10124317418384,83.76851925610168,74.9761165565885,74.9761165565885,74.9761165565885,74.9761165565885,74.9761165565885,65.80658838048049,65.80658838048049,59.72897892655173,48.837300129526014,33.85145851176384,33.85145851176384,33.85145851176384,29.068072966502427,27.11656255870693,27.11656255870693,27.11656255870693,21.97461546367802,21.97461546367802,21.97461546367802,19.34338482396069,13.543714489419244,13.543714489419244,13.543714489419244,13.543714489419244,13.543714489419244,13.543714489419244,13.543714489419244,13.543714489419244,13.543714489419244,13.365038264895873,12.732970569026563,12.732970569026563,12.475552926126824,11.50547404837161,11.50547404837161,11.50547404837161,11.50547404837161,11.50547404837161,11.50547404837161,11.50547404837161,11.50547404837161,11.499325835538912,10.813341587418336,10.813341587418336,10.813341587418336,10.813341587418336,10.813341587418336,10.813341587418336,10.813341587418336,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.438459289442932,10.436638478787216,10.436638478787216,10.436638478787216,10.436638478787216,10.436638478787216,10.436638478787216,10.03247203630373,10.03247203630373,9.636003856366258,9.636003856366258,9.636003856366258,9.636003856366258,9.636003856366258,9.636003856366258,9.636003856366258,9.636003856366258,9.636003856366258,9.636003856366258,9.62899326745989,9.582919273925327,9.561120288590871,9.561120288590871,9.561120288590871,9.561120288590871,9.561120288590871,9.561120288590871,9.546782563681774,9.52183288263862,9.521814437711356,9.49263353622382
