Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWO,F9,1.6,433.4,398.48,374.67,344.89,327.07,317.65,303.19,293.4,284.5,277.4,270.43,260.0,250.96,242.29,235.98,228.23,215.41,210.27,203.61,200.87,195.26,190.27,186.92,179.33,176.73,173.18,169.03,166.32,161.83,157.9,153.01,149.84,147.87,143.43,141.08,138.13,136.15,134.51,132.21,130.48,128.7,126.42,124.26,122.24,120.32,118.72,115.69,113.84,111.91,110.01,108.69,104.96,104.2,101.39,98.73,97.02,94.73,92.81,90.61,88.24,86.72,85.06,83.64,82.48,80.27,78.95,77.09,75.81,73.68,71.86,70.33,69.05,66.39,64.67,62.86,61.13,59.84,57.78,56.52,55.07,53.58,52.42,50.52,49.84,48.73,47.58,46.47,45.36,44.38,43.77,43.16,42.43,41.72,41.01,40.36,39.66,39.23,38.82,38.41,38.16
GWO,F24,1.61,498.35,411.71,370.76,341.73,322.49,309.07,298.85,295.55,290.71,288.06,283.26,279.51,274.92,270.99,266.56,261.95,257.59,255.28,251.14,249.96,247.42,246.76,245.61,244.93,242.21,240.44,237.91,237.52,235.87,235.53,234.28,233.48,232.78,230.99,229.39,228.87,228.68,228.44,226.82,226.02,224.54,222.98,222.22,221.86,220.8,218.93,217.98,216.79,215.82,214.67,212.92,211.62,210.07,209.47,207.81,207.79,207.32,206.51,204.81,203.59,202.74,200.19,198.12,197.35,197.19,195.18,193.9,192.84,191.41,190.31,189.14,188.11,186.35,184.35,182.62,180.02,178.09,174.84,171.19,167.29,162.83,160.98,156.61,154.16,150.58,147.63,145.35,141.93,137.99,135.17,132.82,130.28,127.8,124.77,122.15,119.74,118.1,116.45,114.99,113.99
DE,F9,0.5,420.68,418.43,415.07,410.69,406.76,404.76,398.08,392.61,386.0,381.3,368.08,365.04,363.32,362.39,356.12,352.24,350.77,347.36,343.46,343.27,340.6,338.49,336.8,332.1,331.43,330.46,327.42,325.22,321.55,321.15,317.57,314.73,312.52,310.1,307.5,305.99,303.52,303.18,302.65,301.83,298.44,296.39,295.8,294.84,293.99,292.19,292.05,290.27,290.27,287.43,285.22,284.93,284.37,283.99,283.52,280.08,279.92,279.02,278.88,278.88,277.28,277.19,276.03,274.46,274.09,273.82,273.52,271.62,271.36,270.91,270.91,270.86,270.01,269.56,266.3,266.17,265.2,264.31,264.16,263.38,263.38,262.83,262.79,262.64,262.38,261.87,260.23,260.01,259.73,259.73,258.74,258.31,258.02,257.98,256.1,255.05,255.05,254.21,254.21,254.2
DE,F24,0.46,478.75,467.77,459.13,450.45,438.43,425.84,413.23,401.2,389.19,381.67,369.99,360.47,353.94,343.38,336.0,328.16,324.43,320.21,313.99,309.67,306.67,301.1,298.61,294.19,291.65,290.77,289.6,285.9,285.24,283.43,280.69,278.49,277.28,273.37,271.09,269.09,267.11,263.32,262.44,261.74,260.8,260.1,260.1,260.04,258.63,257.34,255.62,253.79,252.38,251.45,250.74,250.53,250.44,248.29,247.82,246.32,246.12,246.03,245.48,245.18,244.05,243.37,243.37,243.37,243.19,242.18,240.06,239.71,239.39,238.8,238.2,238.1,238.1,237.54,237.22,236.5,235.05,234.84,234.84,234.73,234.33,234.27,234.27,233.78,233.61,232.59,232.59,232.59,232.2,232.2,232.2,232.17,232.15,231.17,231.17,230.63,230.56,230.36,229.93,229.15
PSO,F9,1.46,435.12,372.56,370.69,369.17,363.72,360.97,360.97,357.96,356.38,356.38,356.38,354.58,353.97,353.57,353.57,353.35,351.83,350.72,350.72,350.41,350.18,347.95,347.95,347.84,347.13,346.3,345.41,344.87,344.74,342.22,340.75,339.35,339.35,337.62,336.54,332.94,332.07,331.25,330.08,329.18,328.72,328.34,326.2,325.38,324.2,323.89,322.47,321.58,321.31,320.86,319.04,318.89,314.79,314.51,313.66,311.26,307.98,307.53,303.21,298.93,298.18,295.36,292.9,290.79,288.63,287.49,285.94,284.46,282.97,279.03,278.23,275.99,273.92,273.62,270.79,270.74,268.32,267.07,264.69,263.62,260.65,257.34,255.05,252.68,249.03,244.37,241.86,239.85,237.69,234.42,231.7,226.42,223.44,217.43,213.5,211.08,208.37,206.0,203.46,200.79
PSO,F24,1.58,494.77,423.9,420.24,405.07,395.36,388.84,381.39,374.52,368.42,360.78,354.33,346.83,341.93,337.35,336.58,331.01,327.26,324.91,322.52,321.02,319.4,317.22,316.92,314.18,313.89,313.81,312.98,309.85,309.46,309.13,309.13,308.08,306.79,304.23,303.74,303.12,302.4,301.4,299.92,297.87,297.27,296.1,294.68,291.59,290.0,288.41,287.46,285.5,284.67,283.02,281.47,281.47,277.86,277.86,275.9,275.3,274.28,272.95,272.09,268.91,267.22,266.34,262.84,262.74,259.48,258.28,256.96,256.28,253.26,251.79,249.75,247.37,245.75,243.74,242.33,240.44,239.7,239.16,238.03,236.35,234.22,231.09,229.28,227.98,225.91,224.23,222.28,220.14,218.01,215.82,214.14,210.81,207.63,206.1,204.77,202.73,200.73,199.91,198.99,197.85
SCA,F9,1.64,438.7,432.79,425.49,421.65,419.61,417.7,415.25,415.25,414.38,414.38,414.28,411.2,408.57,401.3,398.72,393.47,392.11,388.62,386.97,384.04,377.71,371.81,370.31,367.28,363.56,359.28,357.71,351.25,349.39,345.58,344.07,336.96,334.46,327.99,326.46,320.83,315.87,307.26,298.58,292.96,281.24,275.03,264.03,256.73,249.54,242.33,236.38,233.14,229.13,222.58,219.51,212.94,210.11,206.54,201.92,198.48,192.72,190.74,182.46,181.98,181.04,178.27,175.4,174.63,173.57,171.08,168.4,166.17,166.17,161.95,159.42,158.91,157.12,156.16,156.0,155.04,154.55,153.46,152.59,149.96,149.21,148.73,148.72,145.59,144.59,144.39,144.19,143.93,143.93,143.55,142.78,142.78,142.78,142.77,142.54,141.38,141.14,141.14,141.12,141.12
SCA,F24,1.67,488.26,470.65,461.45,458.27,451.23,449.77,444.18,438.79,432.62,428.43,422.1,417.76,415.6,411.56,407.47,400.21,397.35,394.39,392.48,386.52,379.81,378.1,374.84,374.54,371.06,368.33,365.19,361.48,358.01,352.39,351.13,348.81,347.73,344.04,337.28,334.22,332.79,330.86,327.38,325.21,323.31,322.13,321.79,318.51,313.94,310.23,308.79,305.29,302.34,300.21,298.22,297.26,293.96,292.78,292.5,289.72,288.8,287.14,285.04,282.77,280.63,279.48,276.32,274.89,273.36,273.22,271.37,270.61,270.27,267.86,267.43,267.43,267.24,264.81,264.08,263.33,260.91,258.82,258.69,258.61,257.59,256.83,256.01,255.82,254.78,254.78,254.78,254.34,254.34,253.51,253.26,253.12,252.04,251.95,250.22,249.87,249.61,247.94,247.91,247.73
