Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWOM,F9,884.78,405.98,405.98,405.98,405.98,386.54,386.54,332.0,331.52,292.15,291.75,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,263.87,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,261.29,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,227.94,227.94,225.73,200.97,179.81,169.02,158.69,152.13,152.13,152.13,152.13,152.13,152.13,143.89,140.13,140.13,140.13,140.13,140.13,140.13,140.13,140.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWOM,F24,971.85,495.05,384.2,365.36,342.71,342.71,342.71,317.76,267.49,267.49,267.49,267.49,267.49,267.49,267.49,267.49,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,119.08,119.08,118.99,118.42,117.51,116.9,116.63,116.55,116.55,116.55,116.5,116.46,116.46,116.46,116.46,116.42,116.42,116.36,116.36,116.36,116.36,116.34,116.32,116.32,116.24,116.24,116.16,116.16,116.16,116.15,116.15,116.14,116.14,116.13,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.1,116.09,116.09,116.09,116.09,116.08,116.08,116.08,116.08,116.08,116.08,116.08,116.08,116.08
GWO,F9,857.12,420.17,391.35,368.56,354.27,330.71,295.62,295.62,295.62,295.62,237.4,237.4,237.4,237.4,237.4,237.4,237.4,227.45,227.45,218.77,218.77,199.5,186.11,159.22,159.22,159.22,156.57,154.31,143.28,131.38,131.38,131.38,131.38,120.69,120.69,104.75,104.75,104.75,104.75,104.75,104.75,104.75,96.18,96.18,93.34,75.83,75.83,75.83,75.69,73.9,65.0,65.0,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,48.26,41.31,41.31,41.31,40.71,37.38,37.38,36.14,36.14,35.39,34.47,33.93,33.16,33.16,33.16,32.6,31.13,30.46,28.97,28.97,28.97,28.21,28.21,28.21,27.1,26.96,26.68,26.68,26.41,26.24,26.03
GWO,F24,860.6,538.69,424.52,357.96,329.43,329.43,329.43,300.52,298.61,298.61,298.61,298.61,298.61,290.01,290.01,290.01,290.01,290.01,290.01,290.01,290.01,290.01,290.01,261.95,261.95,261.95,261.95,261.95,261.95,259.62,259.39,259.39,259.39,259.39,256.87,256.87,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.68,217.14,217.14,211.61,208.05,195.38,195.38,195.38,188.02,188.02,178.33,178.33,167.86,167.86,164.26,163.06,160.48,146.82,146.82,136.03,135.3,125.3,125.3,121.3,117.38,117.38,114.51,111.42,105.61,103.16,100.21,98.52
