Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWO,F9,800.6954908370972,"[-1.00214171 -0.0244709  -0.99586083  0.99715301  0.98248508 -0.01987879
  0.13966533  0.00568058 -0.98795024 -0.04497553  0.97905875  0.99627229
 -0.0630701  -0.03211526 -1.98866968  1.00778509  0.04465964 -0.06491356
 -0.99469863 -0.01263669 -0.01370738  0.98520701 -1.00439259  0.01881741
  0.05154522 -0.07942918  0.01253026 -0.9979434   0.04232559  1.9858874 ]",390.74053339257387,390.74053339257387,305.7979053232589,305.7979053232589,304.37376531298327,304.37376531298327,304.37376531298327,304.37376531298327,304.18222532674844,304.18222532674844,304.18222532674844,292.75988317320633,272.2086843256527,260.99751794559467,234.00097091305045,215.37100363667082,215.37100363667082,211.35031487450405,203.49945825992856,203.4788406170021,184.2949603347078,184.2949603347078,175.55154051466343,171.7845194775456,161.27480339668668,161.27480339668668,135.34681605611715,135.34681605611715,127.106870606842,127.106870606842,127.106870606842,127.106870606842,127.106870606842,127.106870606842,127.106870606842,124.7972878387371,104.73645227345668,104.73645227345668,104.73645227345668,104.73645227345668,104.73645227345668,102.49791494529563,102.49791494529563,102.49791494529563,101.89353597619501,92.59027473265101,90.65031448550567,90.65031448550567,90.30476804163877,89.59856792897156,89.59856792897156,89.59856792897156,89.59856792897156,83.28502599751371,81.17353373796476,81.17353373796476,81.17353373796476,81.17353373796476,81.17353373796476,81.17353373796476,73.09881919604607,73.09881919604607,73.09881919604607,73.09881919604607,63.40235228095335,63.40235228095335,63.40235228095335,53.06201223891347,46.14281324872974,46.14281324872974,46.14281324872974,46.14281324872974,46.14281324872974,46.14281324872974,46.14281324872974,46.14281324872974,46.14281324872974,46.14281324872974,45.35841846779712,42.75635412129492,40.35219422135344,40.35219422135344,36.31497500269069,36.31497500269069,36.31497500269069,35.16570698375392,35.16570698375392,35.16570698375392,32.44839798851632,32.106965324909254,30.866707907028797,30.866707907028797,30.687739422714458,30.433647193352556,30.169445184836036,29.516133313176226,29.516133313176226,29.132399178476362,28.965971758652415,28.77947986283573
GWO,F24,792.931568145752,"[ 9.82638918e-01 -1.37634178e-01  2.82202992e+00  1.15381660e+00
  4.15405610e+00  3.00554108e+00  2.00819200e-02  6.95024412e-01
  2.89119126e+00  2.08703659e+00 -4.47810883e-02  2.00174312e+00
  5.02071166e-01  3.49502673e-03  4.11374442e+00  9.04940942e-01
  3.63713287e+00  2.88645001e+00  1.92134989e+00  1.05757854e+00
  2.22818912e+00  4.06728506e+00  1.90773352e+00 -6.98105360e-02
  4.16041480e+00  2.94800012e+00  2.09212785e+00  3.90798667e+00
  2.17071896e+00 -2.48163395e-01]",440.61795827584956,412.80461602834845,313.9107329410756,291.3992471264461,263.4903618714267,263.4903618714267,263.4903618714267,263.4903618714267,263.4903618714267,263.4903618714267,263.4903618714267,263.4903618714267,263.4903618714267,226.41767852878735,226.41767852878735,226.41767852878735,226.41767852878735,226.41767852878735,226.41767852878735,226.41767852878735,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,216.75018165762322,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,207.17729431537282,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195,178.46800524791195
