Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWO,F9,813.16,119.13,103.31,96.84,78.62,78.62,71.85,71.85,71.23,71.23,57.72,57.72,57.72,57.72,57.72,57.72,57.72,54.03,44.42,42.07,42.07,19.99,19.99,19.99,19.99,19.99,19.99,19.99,14.11,14.11,14.11,14.11,14.11,14.11,14.11,14.11,13.0,13.0,13.0,13.0,13.0,12.45,12.45,11.29,11.29,11.29,11.29,10.33,10.33,10.33,7.71,7.71,7.71,7.71,7.71,7.71,7.71,7.71,7.71,7.71,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,6.91,6.23,6.23,6.23,6.23,6.02,6.02,6.02,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.74,5.74,5.7,5.7,5.7,5.7,5.62,5.62,5.55,5.54,5.54,5.53,5.52
GWO,F24,782.03,117.26,98.64,98.64,80.81,80.81,57.13,57.13,57.13,49.34,49.34,48.68,48.68,42.52,42.52,42.52,42.52,42.52,42.52,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,41.81,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,36.11,36.11,33.32,33.32,26.37,26.37,26.37,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,20.26,20.26,20.26,20.26,20.26,20.26,18.97,18.97,18.97,18.97,18.97,18.97,18.97,18.97,18.97,18.97,18.97,17.75,17.75,17.75,17.65,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.87,16.7,16.7,16.59,16.59,16.5,16.44,16.37
