Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWOM,F9,801.1,96.22,96.22,96.22,92.6,92.6,89.24,68.81,68.81,68.81,68.81,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,49.95,45.98,45.98,44.03,44.03,44.03,44.03,44.03,44.03,44.03,43.02,42.24,35.3,31.07,31.07,31.07,31.07,31.07,31.07,31.07,28.46,23.9,21.75,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,19.39,19.39,19.03,19.03,19.03,19.03,19.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWOM,F24,802.72,112.47,100.56,75.69,75.69,75.69,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
GWO,F9,804.77,113.35,111.78,75.33,75.33,75.33,75.33,75.33,63.16,63.16,63.16,61.3,57.75,29.79,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.08,10.76,10.76,10.76,10.76,10.76,10.76,10.76,10.76,10.76,10.76,10.76,10.76,10.76,10.76,9.96,7.94,6.75,6.75,6.41,6.41,6.41,6.37,6.37,5.85,5.85,5.58,5.58,5.58,5.58,5.58,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.02,5.02,4.9,4.9,4.7,4.65,4.65,4.65,4.65,4.65,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.59,4.57,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.17,4.13,4.09,4.08,4.06,4.06,4.06
GWO,F24,809.5,118.24,97.8,97.8,55.78,50.91,50.91,50.91,50.91,50.91,50.91,50.91,50.91,50.91,50.91,50.91,50.91,42.46,42.46,42.46,42.46,42.46,40.0,40.0,40.0,40.0,40.0,40.0,40.0,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,32.24,32.24,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,30.86,30.86,30.86,27.01,27.01,24.24,24.24,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.74,22.74,22.74,22.74,22.6,22.49,22.46
