Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWOM,F9,337.71,427.31,422.22,420.66,408.37,404.89,317.83,272.64,250.13,237.35,225.83,221.17,218.59,211.52,208.5,201.78,150.22,141.91,138.85,132.85,127.01,119.28,119.28,118.15,117.25,115.18,110.4,102.95,100.9,98.64,96.8,90.2,89.38,86.92,86.92,86.92,86.92,82.26,79.91,77.67,72.38,70.97,70.97,70.97,70.97,70.73,66.29,63.83,63.17,62.27,60.4,57.3,57.3,57.3,57.3,57.3,57.3,56.55,56.28,52.96,52.49,49.1,49.1,49.1,49.1,49.1,49.1,48.03,45.22,44.33,42.56,42.13,42.13,42.13,42.13,42.13,32.49,30.64,30.06,29.67,29.66,29.59,29.59,29.59,29.59,29.59,29.59,28.06,27.8,27.34,26.94,26.84,26.84,26.84,26.84,26.84,26.84,26.41,26.25,26.15,26.06
GWOM,F24,297.6,483.73,451.91,427.31,394.47,378.8,352.07,277.87,265.46,256.53,252.25,244.23,244.08,243.34,243.34,243.34,243.34,235.3,229.84,229.84,229.06,224.64,224.64,224.64,224.64,224.64,223.54,222.91,222.91,221.51,220.82,215.04,215.04,215.04,212.78,212.78,212.36,209.97,209.97,206.87,206.87,206.58,206.58,206.58,206.58,206.58,204.91,203.12,203.03,201.16,197.57,197.57,197.57,196.99,196.98,196.98,196.98,195.64,193.93,190.52,187.56,186.97,186.97,186.97,186.97,186.97,186.97,185.49,183.75,177.0,172.2,167.84,167.84,167.84,167.84,167.84,164.6,155.3,149.46,145.23,143.57,139.39,139.39,139.39,139.39,139.39,134.94,130.52,127.77,126.24,124.61,123.82,123.82,123.82,123.82,123.82,123.33,120.7,120.04,119.54,119.13
GWO,F9,313.73,424.99,375.6,343.59,328.05,314.42,300.39,296.67,296.45,285.82,281.25,273.0,267.61,260.55,260.51,252.02,241.67,237.55,232.25,229.0,221.92,219.21,218.26,211.43,205.8,203.26,200.47,197.3,184.45,181.38,175.58,166.15,164.19,162.05,157.03,155.06,154.42,151.35,149.43,147.87,147.87,147.87,147.35,144.12,142.75,142.75,138.67,138.64,138.64,137.57,133.52,130.71,128.41,128.41,125.78,121.77,118.67,117.11,116.27,115.3,113.91,110.14,108.28,103.63,101.85,101.06,99.46,97.4,95.78,94.92,94.38,92.15,91.3,87.15,85.84,84.68,81.4,79.67,77.43,74.35,72.51,71.31,69.73,69.0,67.82,66.34,66.14,64.44,63.74,61.94,61.21,60.99,60.26,59.36,58.28,57.73,57.19,56.91,56.56,56.11,55.89
GWO,F24,312.92,521.34,414.46,369.94,349.18,326.04,320.91,302.88,293.49,279.91,278.85,278.85,278.81,271.17,268.3,263.26,259.53,256.27,254.66,252.98,252.98,243.35,240.69,239.45,235.1,232.34,231.56,230.85,229.02,228.43,228.19,228.19,224.62,224.62,224.62,222.67,222.67,221.18,217.86,217.86,216.12,215.76,212.24,212.24,210.77,208.21,203.62,203.62,203.62,203.62,203.62,203.62,201.83,200.71,200.71,200.38,200.38,199.1,198.36,197.7,195.42,192.47,186.86,186.62,186.41,182.73,182.69,182.69,181.66,177.93,176.18,174.19,174.02,172.72,171.95,171.59,166.38,165.7,165.7,162.97,158.9,158.77,157.05,153.07,149.98,146.42,141.87,136.95,130.59,127.56,122.61,118.09,115.67,112.26,109.69,107.74,104.26,103.04,101.36,99.9,98.93
