Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
GWO,F9,0.57,113.7,93.96,84.03,75.97,70.58,64.81,59.87,57.86,54.8,53.03,49.46,46.36,43.76,41.69,39.39,37.68,36.15,33.11,31.22,29.21,27.28,26.18,24.89,24.25,22.8,22.13,21.78,21.19,20.9,20.6,19.41,19.19,18.69,17.86,17.15,16.5,16.41,16.15,15.85,15.51,15.46,15.09,14.99,14.83,14.71,14.55,14.08,13.93,13.47,13.39,13.17,13.08,12.96,12.82,12.73,12.54,11.81,11.74,11.57,11.42,11.17,11.13,11.05,11.05,11.04,10.95,10.95,10.91,10.9,10.79,10.73,10.72,10.63,10.57,10.42,10.36,10.14,10.0,9.94,9.82,9.81,9.78,9.76,9.68,9.66,9.58,9.54,9.5,9.46,9.41,9.39,9.36,9.32,9.28,9.24,9.2,9.19,9.17,9.14,9.13
GWO,F24,0.62,120.95,94.32,80.57,75.7,71.06,67.16,65.29,63.5,60.72,60.13,59.52,57.42,56.52,55.72,55.41,55.13,54.28,53.25,52.58,51.91,50.56,50.32,50.13,49.71,49.04,48.27,48.07,47.69,46.79,46.69,45.69,45.06,45.0,44.6,44.17,43.47,42.73,41.37,41.21,40.87,40.34,40.34,39.32,38.47,38.03,37.9,37.25,36.85,36.28,35.87,35.61,35.53,35.51,34.91,34.91,34.91,33.99,33.47,33.18,32.85,32.64,32.56,32.35,32.04,31.82,31.19,31.17,31.13,30.7,30.14,30.12,29.31,29.01,28.56,27.91,27.33,26.5,25.98,24.84,23.86,23.7,23.3,22.84,22.38,21.81,21.15,20.42,19.88,19.44,19.01,18.56,18.3,18.14,17.93,17.78,17.58,17.49,17.32,17.11,17.0
DE,F9,0.31,111.57,107.29,103.13,99.74,96.86,94.05,91.29,88.52,85.53,83.08,79.27,75.33,72.31,70.4,68.74,66.44,64.87,63.6,62.32,60.53,59.66,58.6,58.13,57.12,56.1,55.55,54.18,53.76,51.49,51.17,50.5,49.98,49.19,48.83,48.44,48.33,46.66,46.66,46.08,46.01,45.65,45.56,44.96,44.96,44.79,44.45,43.9,43.6,42.9,42.35,41.3,41.28,41.14,40.62,40.17,40.15,39.9,39.69,39.69,39.57,39.16,38.4,38.18,38.15,36.83,36.74,36.69,36.69,36.69,36.56,36.34,36.24,35.67,35.53,34.67,34.67,34.67,34.48,33.78,33.78,33.66,33.66,33.66,33.66,33.66,33.49,33.49,33.48,33.4,33.4,32.79,32.79,32.62,32.62,32.34,32.26,32.26,32.26,32.26,32.26
DE,F24,0.29,117.85,114.85,110.87,104.62,98.16,90.83,86.25,83.4,80.85,76.89,74.62,72.06,67.41,66.61,63.39,62.11,61.82,61.5,60.74,59.26,58.23,57.84,56.51,55.17,54.95,54.0,53.85,53.12,52.77,52.3,51.98,51.27,51.07,50.54,49.84,49.21,48.06,47.83,47.25,46.24,45.84,45.73,45.67,45.56,44.64,44.39,44.05,43.69,43.69,43.59,43.2,42.42,42.42,42.36,42.07,41.67,41.6,41.6,41.4,41.22,41.17,40.9,40.68,40.67,40.65,40.23,39.9,39.9,39.79,39.71,39.4,39.4,39.27,38.91,38.82,38.7,38.32,38.32,38.23,38.21,37.88,37.73,37.45,37.45,37.17,36.53,36.25,36.05,35.59,35.19,34.94,34.37,34.37,34.37,33.95,33.7,33.52,33.21,33.21,33.05
PSO,F9,0.5,112.95,91.73,88.96,85.77,83.43,82.41,81.94,80.17,79.33,78.63,77.86,76.83,75.88,73.91,73.48,72.93,71.92,71.31,70.73,69.72,69.02,68.39,68.39,68.28,67.34,66.52,66.22,65.96,65.77,65.45,63.95,63.11,60.99,60.99,60.13,58.79,57.19,57.02,56.42,55.74,53.57,53.39,53.14,52.5,51.77,51.3,50.49,49.67,48.33,48.17,48.01,47.95,47.66,46.09,45.78,44.37,43.59,43.34,43.06,41.93,41.8,41.23,38.86,38.17,37.11,35.67,34.18,32.96,32.36,31.93,31.58,30.52,29.08,28.79,28.06,27.32,26.81,26.1,25.34,24.21,23.76,23.53,23.21,22.87,22.22,21.56,20.84,20.24,19.67,18.71,18.14,17.58,16.98,16.62,16.03,15.6,15.13,14.81,14.35,13.99
PSO,F24,0.51,124.95,93.51,91.85,86.49,83.95,79.38,76.94,75.77,75.08,74.15,72.48,72.27,71.77,70.51,70.43,70.32,70.27,70.16,69.76,69.54,68.71,68.25,67.68,67.56,67.43,66.05,65.87,65.87,65.42,65.02,64.95,64.27,64.21,64.21,62.75,60.95,60.33,59.69,59.24,59.24,58.84,58.75,57.4,56.49,55.95,55.62,55.62,55.28,55.27,55.13,54.72,53.82,53.33,53.22,52.9,52.61,52.14,51.58,51.5,50.84,49.69,49.08,48.78,48.41,48.0,47.43,46.83,46.48,45.8,45.13,44.85,44.3,44.0,43.83,43.34,42.75,42.17,41.51,40.78,40.21,39.95,39.59,38.78,38.5,38.3,37.9,37.39,36.31,36.02,35.51,35.1,34.94,34.31,33.8,33.39,32.89,32.5,32.17,31.9,31.82
SCA,F9,0.5,114.06,112.02,107.79,106.84,105.49,104.94,104.63,103.16,101.14,98.99,97.07,95.65,95.02,94.27,92.05,90.23,90.07,89.02,88.28,86.91,86.01,83.69,82.49,81.07,80.31,80.13,79.84,77.95,75.64,72.65,71.67,69.41,66.2,65.4,64.46,63.72,60.77,59.32,56.25,53.27,51.55,49.35,46.76,43.38,41.61,41.55,40.64,39.37,37.61,37.04,36.08,34.67,32.87,31.64,30.95,29.64,28.21,27.92,27.16,26.2,25.5,24.84,24.12,23.25,22.63,22.4,22.4,21.93,21.57,20.43,20.34,20.34,19.87,19.81,19.8,18.89,18.33,18.12,17.66,17.59,17.59,17.47,17.35,17.29,17.25,16.96,16.96,16.94,16.9,16.78,16.61,16.43,16.29,16.27,16.27,16.23,16.2,16.16,16.16,16.15
SCA,F24,0.5,127.12,118.67,115.37,109.34,104.39,101.64,96.27,95.02,94.07,91.97,90.63,89.43,87.25,86.62,85.7,84.4,83.32,81.96,81.38,81.16,78.8,78.16,77.73,76.42,76.42,75.39,74.77,74.4,73.71,72.01,71.45,70.9,70.87,70.69,69.97,69.14,68.34,67.87,67.85,67.31,67.18,66.66,65.68,64.21,63.71,63.31,62.75,62.56,62.28,61.48,61.29,61.05,60.28,59.97,58.89,57.51,57.39,57.31,56.6,56.12,56.03,55.39,55.34,54.91,54.59,54.59,54.59,54.59,54.54,53.91,53.86,53.64,53.49,53.15,52.63,52.63,52.17,52.17,52.08,51.71,51.16,50.79,50.56,50.56,50.29,50.16,49.73,49.6,49.6,49.52,49.52,49.36,49.34,49.04,48.62,48.62,48.62,48.47,48.01,48.01
